Mention,Class
Android,OS
Windows,OS
iOS,OS
Linux,OS
Google play store,Application
Google play,Application
Play store,Application
Google,Organization
Cerberus,Malware
Alien,Malware
ERMAC ,Malware
DroidJack,Malware
Rotexy ,Malware
Judy,Malware
Gooligan,Malware
SpyNote RAT,Malware
SpyNote,Malware
TrickMo,Malware
INSOMNIA,Malware
Dvmap,Malware
Zen,Malware
Exodus,Malware
Desert Scorpion,Malware
RCSAndroid,Malware
Corona Updates,Malware
TangleBot,Malware
Skygofree,Malware
Twitoor,Malware
DualToy,Malware
Mandrake,Malware
DEFENSOR ID,Malware
MazarBOT,Malware
Ginp,Malware
HummingWhale,Malware
eSurv,Malware
Monokle,Malware
Red Alert 2.0,Malware
ViceLeaker,Malware
FakeSpy,Malware
XLoader,Malware
SpyDealer,Malware
RuMMS,Malware
"Chrysaor,Pegasus",Malware
Pegasus,Malware
AndroidOS/MalLocker.B,Malware
RedDrop,Malware
Anubis,Malware